EM_PREDICTION,IMP_Flash_Point,IMP_Sp.Gr.@_6060_deg.F,P_Viscosity,sample_id,sample_point_id,Viscosity,_dmIndex_,_PartInd_
4.0419914043,89.0000,1.0624,4.0419914043,2004019090,OL2-SC231,3.7097,1000066,1
3.7206868558,83.0000,1.0605,3.7206868558,2004020874,OL2-SC231,3.5411,1000067,0
3.9008670998,86.0000,1.0621,3.9008670998,2004022591,OL2-SC231,3.5727,1000068,1
4.3037013413,87.0000,1.0673,4.3037013413,2004024549,OL2-SC231,4.2640,1000069,1
5.0837333534,98.0000,1.0677,5.0837333534,2004026280,OL2-SC231,4.2620,1000070,0
4.3650620899,86.0000,1.0686,4.3650620899,2004028314,OL2-SC231,4.4151,1000071,0
4.366007245,91.0000,1.0655,4.366007245,2004029795,OL2-SC231,4.5298,1000072,1
4.3599553047,88.0000,1.0674,4.3599553047,2004031173,OL2-SC231,4.3587,1000073,2
3.7883411517,82.0000,1.0621,3.7883411517,2004032979,OL2-SC231,3.5797,1000074,0
3.7925836225,85.0000,1.0608,3.7925836225,2004034825,OL2-SC231,3.4766,1000075,0
3.7918091326,86.0000,1.0602,3.7918091326,2004036684,OL2-SC231,3.6867,1000076,1
3.989403278,87.0000,1.0629,3.989403278,2004038316,OL2-SC231,3.7948,1000077,2
3.9506076483,87.0000,1.0623,3.9506076483,2004040059,OL2-SC231,3.7990,1000078,1
3.9709888608,86.0000,1.0632,3.9709888608,2004041565,OL2-SC231,3.7360,1000079,2
4.3360181565,94.0000,1.0628,4.3360181565,2004042907,OL2-SC231,3.6980,1000080,1
3.7683067345,85.0000,1.0604,3.7683067345,2004044692,OL2-SC231,3.2873,1000081,1
3.7864364442,84.0000,1.0612,3.7864364442,2004046424,OL2-SC231,3.4259,1000082,0
3.5825539679,77.0000,1.0598,3.5825539679,2004048214,OL2-SC231,3.3536,1000083,1
3.61688344,75.0000,1.0608,3.61688344,2004049858,OL2-SC231,3.4366,1000084,1
3.7541343881,82.0000,1.0615,3.7541343881,2005001067,OL2-SC231,3.4020,1000085,0
3.6841026881,80.0000,1.0610,3.6841026881,2005002414,OL2-SC231,3.3824,1000086,0
3.6880827852,82.0000,1.0603,3.6880827852,2005003732,OL2-SC231,3.3680,1000087,1
3.7926876719,84.0000,1.0613,3.7926876719,2005005382,OL2-SC231,3.4880,1000088,0
3.765548731,85.0000,1.0603,3.765548731,2005007020,OL2-SC231,3.4360,1000089,1
3.7496828091,85.0000,1.0600,3.7496828091,2005008821,OL2-SC231,3.4007,1000090,1
4.07169541,93.0000,1.0598,4.07169541,2005010401,OL2-SC231,3.4683,1000091,1
3.9069777513,86.0000,1.0622,3.9069777513,2005012148,OL2-SC231,2.6149,1000092,1
4.0233678317,87.0000,1.0634,4.0233678317,2005013671,OL2-SC231,3.7258,1000093,2
4.0294128402,86.0000,1.0641,4.0294128402,2005014972,OL2-SC231,3.8701,1000094,0
3.7121979368,82.0000,1.0608,3.7121979368,2005016714,OL2-SC231,3.5457,1000095,0
